NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                             MESSAGE
testapp       119s        Normal    Killing                        pod/nginx-test-54db47f9bb-wndrd    Stopping container nginx
testapp       118s        Normal    Created                        pod/nginx-test-7976d45f7d-jvhkm    Container created
testapp       118s        Normal    SuccessfulDelete               replicaset/nginx-test-54db47f9bb   Deleted pod: nginx-test-54db47f9bb-4hv7l
testapp       118s        Normal    SuccessfulCreate               replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-jvhkm
testapp       118s        Normal    Killing                        pod/nginx-test-54db47f9bb-4hv7l    Stopping container nginx
testapp       118s        Normal    Started                        pod/nginx-test-7976d45f7d-jvhkm    Container started
testapp       118s        Normal    Pulled                         pod/nginx-test-7976d45f7d-jvhkm    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       118s        Normal    Scheduled                      pod/nginx-test-7976d45f7d-jvhkm    Successfully assigned testapp/nginx-test-7976d45f7d-jvhkm to k3s-w2
testapp       118s        Normal    ScalingReplicaSet              deployment/nginx-test              Scaled down replica set nginx-test-54db47f9bb from 2 to 1
testapp       118s        Normal    ScalingReplicaSet              deployment/nginx-test              Scaled up replica set nginx-test-7976d45f7d from 2 to 3
testapp       117s        Normal    Killing                        pod/nginx-test-54db47f9bb-szr5w    Stopping container nginx
testapp       117s        Normal    SuccessfulDelete               replicaset/nginx-test-54db47f9bb   Deleted pod: nginx-test-54db47f9bb-szr5w
testapp       117s        Normal    ScalingReplicaSet              deployment/nginx-test              Scaled down replica set nginx-test-54db47f9bb from 1 to 0
